Gene_Symbol,log2FoldChange,pvalue
SLC25A11,0.488810735,8.31E-05
RAI1,-0.274791976,0.01673139
NUP88,0.641200889,2.32E-07
C1QBP,0.889804997,6.54E-25
BLMH,0.298121769,0.019738427
GOSR1,0.538209734,5.93E-08
CCDC47,0.418712743,3.15E-08
MED31,0.751939019,0.004323609
DRG2,0.368384095,0.01516975
FTSJ3,0.334823737,0.001640118
SMARCD2,-0.239307874,0.024012708
ICAM2,-2.054794416,1.12E-05
SYNGR2,-0.596596413,2.09E-17
UTP6,-0.344706647,6.27E-05
CYTH1,-0.940814786,1.71E-34
PSMD11,0.48495741,2.67E-08
LGALS3BP,-1.756785284,2.88E-42
CCL7,-4.618503948,8.48E-100
CCL2,-3.417306486,3.17E-265
CCL8,-5.633714788,1.19E-200
CCL1,-1.810115577,9.78E-10
DHX58,-1.561778634,1.85E-56
KAT2A,0.573695783,4.36E-05
RAB5C,-0.51038124,7.69E-10
NAGLU,-0.408186995,0.007851845
ABI3,-2.125414466,0.020000052
EZH1,-0.612929276,2.94E-06
PPP1R9B,-0.639086801,3.67E-19
COL1A1,2.444427255,1.19E-27
VAT1,0.367195913,1.21E-08
LRRC59,0.665425034,6.45E-31
ALOX12,-1.28781542,4.90E-05
ABCC3,2.254492562,6.17E-150
SMURF2,0.458326475,7.10E-05
EFTUD2,0.347968398,3.46E-09
SLC16A6,2.708868254,5.85E-74
PRKAR1A,0.565915683,1.24E-25
YWHAE,0.274552111,1.03E-10
MMD,0.378651473,0.044688598
NHERF1,-0.771008763,0.002167515
MYH3,-2.495956103,0.002654841
NAT9,0.429421598,0.019574154
TMEM104,-0.33327669,0.017470886
TNFAIP1,0.34467722,0.025057062
TMEM97,2.746942039,4.63E-13
PMP22,1.077884332,0.000675689
ALDOC,2.569332715,7.21E-16
SUPT6H,0.426307664,3.98E-12
PHF12,0.427415713,0.001585145
TMEM33,0.554036485,2.04E-17
GABRA4,3.36484938,1.08E-22
SLAIN2,0.309272704,3.27E-05
OCIAD1,0.440050216,5.20E-10
DCUN1D4,0.699277219,1.18E-05
USP46,1.229599461,1.24E-09
CRACD,1.164055564,0.012280321
NFKB1,-0.525215894,1.89E-11
AREG,2.061616467,4.58E-17
MANBA,-0.414074904,6.82E-09
UBE2D3,-0.276560931,7.97E-09
INPP4B,-0.344543058,0.016412722
GAB1,-0.548839908,0.046990021
CPE,0.799742559,1.63E-10
RPL34,0.527365323,4.71E-08
GRPEL1,0.674281566,2.61E-11
FRG1,-0.742051933,6.26E-12
CLCN3,0.916118878,3.80E-19
AADAT,1.55731825,0.006546838
GALNT7,0.344745771,0.010281451
DHX15,0.226211246,1.91E-05
TRIM2,2.130612562,7.86E-80
SLC2A9,-0.624272054,0.041497864
FBXW7,-0.594835601,2.30E-05
NEIL3,3.850565065,1.97E-09
NSD2,1.201248715,2.14E-25
NKX3-2,-1.60579383,0.000402257
MFSD10,0.330126093,0.003167559
BST1,-0.72770694,0.00352789
RAPGEF2,-0.385925196,0.000583737
UFSP2,1.04928629,1.96E-06
KLF3,-0.534865351,1.31E-09
KLHL5,0.331393508,7.73E-05
NCAPG,3.579688007,6.04E-72
UGDH,0.382466683,0.000325464
HTATIP2,-0.597339437,9.93E-06
CTSC,-0.22326081,3.19E-05
CCDC34,2.916774486,6.19E-06
ZPR1,0.489160079,3.24E-06
MTCH2,1.167516995,3.73E-33
FNBP4,-0.53627886,1.45E-13
TECTA,-2.432211525,0.007325224
CRTAM,-1.418371214,0.043921359
JHY,-1.010823857,0.0012862
HSPA8,0.252729444,2.60E-14
VWA5A,-0.744622841,0.007944128
DNAJC4,-0.378987634,0.021162788
SIAE,0.880164634,6.14E-10
LPXN,-0.321822795,9.18E-10
DTX4,-0.883930052,2.32E-20
ATG2A,-1.090056673,5.05E-24
UNC93B1,-0.96053547,1.67E-56
FOXRED1,0.433493096,0.003051666
MS4A6A,-1.419350188,0.037612745
CPT1A,1.200624465,1.93E-23
CCND1,0.450326551,5.44E-38
CCDC86,1.235126771,7.97E-15
PRPF19,0.242583289,0.020971261
TRIM3,0.811445386,0.011350951
ANAPC15,0.870420099,0.011986414
PANX1,-0.725820774,9.93E-20
ARHGEF17,0.395303612,0.029007413
CEP164,0.319535018,0.009315013
RNF141,0.549184914,8.40E-06
EIF4G2,0.539267653,9.17E-57
IL10RA,-2.904755362,1.59E-304
GALNT18,-0.769955631,0.042942179
UBE4A,0.42371571,1.33E-06
DDX6,0.462186111,1.83E-16
CBL,0.349010246,1.22E-13
NECTIN1,-0.528711267,0.037815663
HIPK3,-0.225456966,0.000159683
KIAA1549L,2.677520301,0.002405426
FBXO3,0.298122473,0.036809712
PDHX,0.553367199,1.06E-08
SLC1A2,2.313136431,0.01491649
COMMD9,0.417122523,0.007746195
SLC15A3,-2.234100715,8.48E-186
ACCS,-0.458738273,0.00646124
AMBRA1,-0.947102461,1.07E-22
MADD,-0.537202817,3.46E-15
PTPMT1,0.677573419,0.045001174
NAA40,-0.404214977,0.000968452
CARS1,-0.74013335,7.45E-15
SLC22A18,-1.185622078,1.08E-15
CD81,-0.756875415,5.09E-72
C11orf21,-0.684717742,0.000274174
ELMOD1,3.66607984,0.009403153
PITPNM1,-0.27041245,0.003085613
RPS13,0.705146364,8.21E-22
NUP98,0.140580242,0.021252229
TCIRG1,-0.782237579,1.34E-64
CHKA,-1.062441528,4.65E-14
PPFIBP1,0.15462809,0.000374215
CD69,-3.383606478,0.000923256
PRDM4,-0.704124911,8.03E-13
COQ5,0.440737861,0.017290405
CORO1C,-0.109996737,0.011847773
CAPRIN2,0.676632994,1.50E-12
KCTD10,0.674716467,1.42E-14
SLC11A2,-0.40692391,2.30E-07
MLEC,0.942651439,2.65E-64
BIN2,-0.579426837,6.20E-14
IL23A,-1.848205441,4.21E-12
ATP5F1B,0.844386925,7.89E-95
PTGES3,0.213313441,5.64E-05
BCL7A,-1.057948129,4.87E-10
RSRC2,-0.229064048,0.004454651
LIN7A,1.365675294,1.07E-05
ACSS3,2.880229515,0.000807007
PPM1H,0.359812688,0.021004268
METAP2,0.331677241,2.48E-05
LTA4H,1.836080433,1.64E-53
ELK3,1.167236015,2.76E-20
SLC6A12,-1.257492132,1.77E-06
WNT5B,-0.579119361,8.63E-05
MAGOHB,0.884714045,0.002762352
FOXM1,4.291849768,3.15E-21
ARPC3,0.210025272,4.75E-05
GPN3,0.294961748,0.026309027
RAD51AP1,2.653682483,2.95E-11
SH2B3,0.569889065,1.75E-37
DUSP16,-0.692942125,0.004381818
ACAD10,0.379130453,0.035093537
ALDH2,-1.358967784,0.000224206
CDKN1B,-1.260849514,1.20E-15
NAA25,0.209981626,0.014405538
LTBR,-0.793073381,4.43E-13
CDK2AP1,0.895925663,1.91E-07
OAS3,-0.932685527,3.63E-189
OAS2,-0.754087309,6.44E-99
MGP,3.129979381,2.93E-36
ARHGDIB,0.87906012,8.55E-56
GTF2H3,0.188649044,0.04464101
EIF2B1,0.49765068,2.95E-05
DDX55,0.523230632,0.000879323
SPRING1,0.256318189,0.024801455
VDR,-0.330624005,0.031667122
RFC5,1.224617418,1.37E-08
STX2,0.367621011,0.013663566
ADGRD1,1.195609523,0.003485782
COPZ1,0.854078125,3.85E-30
CAND1,0.134164859,0.044956392
MDM1,-0.407887275,0.033041443
NUP107,0.853375287,8.07E-12
CNOT2,-0.264024596,0.003326948
TIMELESS,1.498696776,1.03E-24
CPSF6,0.205955366,0.024951993
KRR1,-0.449074403,7.42E-11
MRPL51,0.99888966,2.48E-06
GAPDH,0.848117565,5.10E-109
NOP2,0.373498226,0.012659063
CHD4,0.398852916,4.69E-15
BLTP3B,0.384579198,6.60E-07
COPS7A,0.310847493,0.030047651
CDCA3,3.992268475,0.003315934
USP5,0.941654247,6.67E-13
TPI1,0.589924504,2.60E-23
ATN1,-0.765049908,5.18E-12
PTPN6,-0.958603673,2.39E-51
GOLT1B,0.553582478,6.33E-13
LDHB,0.683894524,1.06E-37
PRKAB1,-0.878839986,1.04E-12
CMAS,0.347309342,8.20E-05
HCFC2,0.616749962,0.009248909
ST8SIA1,1.893572477,0.009101284
C2CD5,-0.254316847,0.021266708
RAB35,-0.597156179,3.02E-15
COX6A1,0.579363684,1.43E-05
SRSF9,0.410380905,6.43E-09
NA,1.789915871,0.039151005
FGFR1OP2,-0.259962382,0.001616304
COL12A1,4.763019502,4.22E-36
BTN3A3,-0.34169655,0.00168369
TDP2,0.228112474,0.0359298
DSE,-0.743000146,5.94E-14
TMEM14C,0.986885466,8.32E-10
PAK1IP1,1.472928133,2.16E-10
GCNT2,-3.807600258,0.000533363
ASF1A,0.451993489,3.44E-05
MCM9,-0.42945057,0.001509803
RNGTT,0.434344234,1.09E-05
MAN1A1,0.782574073,3.49E-35
GABRR2,-2.409049989,5.97E-16
SERINC1,0.395918842,7.28E-19
NCOA7,-2.117300826,0
RIPOR2,-2.111377474,2.47E-07
SASH1,0.936756493,2.70E-18
UST,1.600224563,2.88E-44
PPARD,-0.588789167,3.78E-24
FANCE,-0.477434114,0.005452056
MAPK14,0.844723433,2.00E-29
KCTD20,1.037975189,7.84E-48
STK38,0.314060304,0.000440786
SRSF3,0.507152274,1.10E-16
NA,-0.893769746,2.39E-135
MCM3,1.726204881,6.70E-67
MDGA1,-1.947001179,8.15E-72
CILK1,0.52969507,0.011077078
FBXO9,0.516165207,8.30E-06
CD83,-0.962736293,3.94E-47
MDN1,1.109361178,2.46E-44
RBM24,-0.916038086,0.022225849
ZNF451,0.203357235,0.008772499
BAG2,0.500306415,9.45E-05
GPR63,1.710982515,0.009488505
FBXL4,0.369640499,0.029936159
E2F3,0.800368071,8.00E-14
PTP4A1,-0.131169588,0.003588404
ASCC3,0.706320919,5.99E-16
BVES,-1.085325535,7.51E-11
WASF1,-1.257875504,9.56E-17
ALDH5A1,0.906043068,0.000432668
VNN1,2.00093062,0.005875149
VNN2,-5.193247778,0.008556431
ACOT13,0.70409568,0.001540781
RPS12,0.536566608,7.48E-05
GMNN,1.347464612,1.04E-06
SOBP,-0.607090892,0.034548697
SNX3,-0.243669969,5.09E-06
HBS1L,0.668460222,9.20E-13
TRIM38,-0.923570251,2.07E-36
FIG4,-0.293572211,0.00139496
PERP,-0.642272967,1.47E-08
ARFGEF3,0.722649175,0.006073251
SLC16A10,0.380116947,0.034846748
HECA,0.160516036,0.000732367
SLC39A7,0.315479617,4.43E-06
PHF1,-1.165927702,1.47E-08
QKI,0.112668316,0.011507175
TFEB,-1.266582276,6.27E-34
CCND3,-0.656672397,4.31E-22
BYSL,0.827066028,3.30E-08
PPP2R5D,0.664363029,4.83E-16
MRPL2,0.743928334,6.66E-08
PTK7,-1.457612103,0.000758188
SRF,-0.265395037,0.000198343
CUL9,-0.278502503,0.015619612
DUSP22,-1.656175524,7.82E-10
EXOC2,0.554023244,0.001367032
COX7A2,0.481068987,1.53E-08
SENP6,-0.908408,4.24E-34
VEGFA,0.30885237,4.00E-06
TTK,2.91890254,1.14E-27
SLC29A1,-0.756551862,2.31E-19
TENT5A,-1.526660522,1.93E-153
CLIC5,-3.70768063,0.000171872
LY86,-2.245087819,2.40E-14
TBX18,-0.92967015,5.04E-17
ERBIN,-1.279834973,3.29E-161
PCDHB2,0.857192431,4.58E-06
HARS2,0.344892182,0.001841662
NUDT12,1.015123768,5.50E-06
CEP72,-0.478370906,0.031144995
MAN2A1,0.248475288,0.009786453
TENT4A,-0.764191257,1.66E-19
HMGCS1,0.691132298,2.91E-16
DAP,0.499907988,1.33E-17
KIF20A,4.831565243,8.20E-14
NNT,1.048362627,1.21E-41
HSPA9,0.306485924,1.49E-12
MRPS27,1.580992369,4.10E-31
HBEGF,0.915801967,8.55E-57
LOX,1.27712143,9.21E-05
APBB3,0.891973425,2.48E-09
SPARC,2.300019051,0.01388261
IK,-0.339729256,3.01E-05
HMGCR,0.748140263,9.51E-28
FAF2,0.664507051,6.60E-18
PCDHB5,2.520740329,1.07E-17
PCDHB7,-2.874298849,0.023039774
PDE8B,1.647856016,1.35E-06
HAVCR1,-1.69760794,0.000226324
RNF130,-0.5245681,1.12E-12
ARSB,0.525262293,1.26E-10
CLINT1,1.162107259,4.79E-31
CNOT6,0.407315945,1.26E-06
TTC1,0.236236599,0.032450788
MSH3,0.871290831,1.29E-07
CCNG1,0.578812485,3.03E-11
POLR3G,3.036171011,1.10E-18
ARRDC3,-0.250646851,0.000157479
GOLPH3,0.237986076,4.72E-06
FAM172A,0.761997135,0.000155992
LNPEP,-0.6435839,1.87E-22
PDE4D,1.341039627,1.12E-09
RAD1,0.760349318,7.63E-11
BRIX1,1.168853186,1.66E-24
SLC12A7,-2.50910599,1.18E-86
RAD50,0.41784385,0.000120805
ST8SIA4,-0.614246644,7.23E-12
GNPDA1,-0.672983383,1.51E-09
SKP1,0.602287413,1.17E-18
NUP155,1.313868214,9.18E-52
PPP2CA,0.245885306,9.55E-05
C5orf15,-0.236535852,0.001081536
LIFR,-2.158569373,3.72E-20
TRIM23,0.42530596,0.023126205
TRAPPC13,0.563448017,4.00E-05
TXNDC15,0.706747937,0.000113398
TTC33,0.404641493,0.000862994
RARS1,0.739223934,4.95E-20
WWC1,-0.69853851,9.25E-05
MACROH2A1,0.103923907,0.015527188
TCERG1,0.535418764,1.85E-11
DPYSL3,1.717250881,9.98E-13
SMAD5,0.811790021,1.28E-13
CSNK1A1,0.114440285,0.038074453
HMGXB3,-0.334586351,1.57E-09
ERGIC1,0.695542172,2.85E-21
PDGFRB,2.522138358,4.11E-11
ATP6V0E1,-0.520157392,1.24E-22
CPEB4,-0.494444665,1.37E-11
DBN1,0.885539082,7.01E-18
EHHADH,0.830922204,0.024421974
SMC4,0.216692968,0.003052943
TIMMDC1,0.200828056,0.030338943
CRBN,0.398747968,0.016427468
BCL6,-1.173259916,1.84E-104
HGD,-1.4739284,8.76E-14
ARL6,0.863415685,0.017918768
NPHP3,0.361409427,0.007400754
CD86,-0.708065785,0.017986028
AMOTL2,-0.932397847,0.003279091
NIT2,0.837979494,2.33E-06
FAM162A,1.000122917,3.10E-07
KPNA1,-0.290902252,8.20E-05
PCCB,0.875227807,3.96E-13
UBE3A,0.237393645,0.001881632
ARMC8,-0.359980322,0.000456419
CEP70,-0.993480102,0.000246448
SLC25A36,0.493519534,3.40E-09
RNF7,0.454375248,9.68E-05
TFDP2,0.725289263,0.03865783
XRN1,-1.309066566,1.84E-136
KAT2B,-1.457039615,5.25E-58
PDCD10,-0.370228041,1.14E-05
WNT5A,1.005329579,1.06E-20
PFKFB4,0.247210935,0.000258691
COL7A1,0.507520342,3.78E-06
PRKAR2A,0.860881137,3.62E-27
HES1,-1.621111603,1.88E-17
ACAP2,0.15223084,0.016406677
ECT2,0.960798103,8.19E-07
TFG,-0.177702957,0.018588098
RPL24,0.223636612,0.000829986
CBLB,0.564938357,4.33E-23
BBX,-0.552582197,2.51E-07
GBE1,1.488764341,1.77E-42
UMPS,0.694794272,4.83E-06
NCBP2,0.205512434,0.011221131
C3orf52,-2.12731782,0.001186907
FRMD4B,0.28666393,0.006445519
ATP6V1A,-0.265016699,8.50E-06
PODXL2,-0.570900472,0.000224612
NEK11,-0.993360624,0.017746655
MRPL3,1.133301878,9.39E-28
MAPKAPK3,0.590348141,5.43E-18
ACVR2B,0.50545109,0.024762083
WDR48,0.229337113,0.037013225
GORASP1,-0.619176522,2.83E-11
RRP9,0.7995639,0.000122481
ABCC5,0.889399309,3.55E-08
ABHD14B,0.698769602,0.000656009
EIF1B,-0.63169238,2.23E-07
KLHL24,-0.815298238,2.58E-22
VIPR1,0.862200651,0.007094292
DNAH1,-0.522069896,0.000772035
SSR3,0.839541612,7.78E-36
ZBTB47,0.461939283,0.005814062
NKTR,0.170633538,0.022331742
FOXP1,-0.534635397,2.19E-05
EIF4G1,0.325398818,4.21E-17
SPCS1,0.451095886,7.86E-06
INO80D,-0.526410406,5.78E-08
EEF1B2,1.050053458,3.05E-42
MOB1A,-0.391000352,1.30E-17
KANSL3,-0.74989365,2.97E-12
RTKN,0.720473137,0.031430446
TTL,0.522514786,1.65E-10
CCL20,0.263391745,1.10E-06
PIKFYVE,-0.783069029,7.53E-51
FAHD2A,0.741672811,0.001629251
NCL,0.686397425,8.96E-58
SLC35F5,0.205214524,0.005250029
ACTR3,0.130019631,0.000233294
STEAP3,1.754310554,3.52E-20
EPB41L5,-1.00046795,0.003213108
SF3B6,0.597312467,4.91E-08
TP53I3,0.727745368,0.006646313
DNAJC27,-0.674904384,0.004285307
OTOF,-3.872308249,1.37E-83
CENPA,2.219773801,5.37E-05
CYTIP,0.74501528,8.72E-19
ACVR1,0.641854426,1.77E-08
TANC1,0.621327444,7.24E-05
GTF3C2,0.438339193,1.29E-05
EIF2B4,0.527014631,0.000180522
NRBP1,-0.595579669,4.52E-21
SNX17,0.503148992,6.09E-08
PPM1G,0.259952193,0.000962059
IFIH1,-1.702140812,1.99E-295
RPS15,0.377183731,1.27E-10
GCA,-1.929024978,2.47E-44
MOGS,0.246215555,0.010693034
NDUFS7,0.37381954,0.021480392
CLIP4,-1.292955204,2.48E-08
SPTBN1,0.430303749,5.38E-06
RTN4,0.510344228,1.56E-29
LOXL3,-1.584264017,2.79E-21
DOK1,-0.554172152,2.74E-05
CCDC88A,0.441957467,1.32E-21
MRPL19,1.105446265,3.20E-17
LANCL1,0.748831027,1.92E-06
WDR75,0.833130861,4.66E-10
FANCL,0.9196996,1.83E-08
FN1,6.080878162,0
STAT1,-0.915490706,4.89E-163
GLS,0.44501551,7.58E-20
PECR,0.846948736,0.031413069
ELMOD3,-0.626181366,7.58E-06
IGFBP5,4.402237859,3.76E-16
USP34,0.674347297,7.75E-24
CCT4,0.580226344,9.07E-26
GGCX,0.50986311,0.000219889
EHBP1,0.52336274,0.000808285
OTX1,-1.079759308,8.95E-14
TXNDC9,0.631673679,4.95E-07
GNLY,2.902114638,4.23E-62
SF3B1,0.348390934,3.06E-15
ST3GAL5,-0.348946386,0.000115506
PDCL3,0.733105108,0.000621037
MOB4,0.563716935,3.33E-05
HSPE1,1.473558724,1.52E-19
CHMP3,0.577213083,7.42E-08
IL1R2,3.799791864,7.15E-11
IL1R1,0.216309272,0.010472626
IL18R1,1.263705064,0.000832361
FHL2,-0.971792021,8.73E-05
CNPPD1,-0.388410848,0.01039482
UXS1,-0.463782319,9.31E-10
HDLBP,0.636175503,9.61E-57
PPP1R7,0.486298257,1.00E-07
PASK,1.28433882,7.39E-12
STK25,0.237989061,0.039141214
ID2,0.27987971,3.60E-05
TAF1B,-0.563419513,0.001054069
HPCAL1,-0.135263449,0.00307242
ODC1,1.202249981,5.77E-43
BIRC6,0.403750826,1.10E-14
NOL10,1.163901358,3.71E-15
PLEKHB2,0.799296166,3.44E-63
GORASP2,0.371970735,6.83E-05
CEBPZ,0.489411811,5.07E-06
PRKD3,0.453721567,4.77E-05
DCAF17,0.531826245,0.005631139
RAB3GAP1,0.200817918,0.044819863
SLC25A12,1.338873895,1.70E-07
RMDN2,0.680436167,0.04584288
DARS1,0.438362212,1.37E-06
SRSF7,0.531072768,3.46E-10
SDC1,2.307038453,9.93E-16
SLC1A4,-1.401115075,1.49E-74
SOS1,-0.881905612,1.18E-26
WIPF1,-0.734266023,3.25E-42
COX7A2L,0.427807504,0.000511907
PNO1,0.708239106,2.50E-07
ORC4,-0.41063201,0.007572929
PLEK,-1.251211581,1.30E-252
RND3,-0.80010754,3.22E-105
THADA,1.158500272,2.28E-10
TRAK2,0.78729695,8.46E-19
TIA1,-0.186741382,0.007871675
PCYOX1,1.04677662,5.73E-24
ARID3A,-0.542615443,1.47E-07
SUMO1,0.396294664,7.31E-07
GRIN3B,-0.601721699,0.027701017
NFE2L2,-0.411116924,7.06E-14
MSH6,1.272247699,3.26E-26
EPHA4,2.015729088,0.029506026
FARSB,1.737738643,3.24E-39
ALMS1,1.219889221,3.59E-11
PRRX1,4.269981312,0.000839714
DHCR24,0.463644944,3.69E-13
GPX7,-0.702686013,0.03250824
CACYBP,0.470657577,3.10E-06
SCP2,0.399831074,1.63E-09
RALGPS2,-0.822868237,0.034675129
FAM20B,1.11044126,5.38E-16
MRPL37,0.933579508,6.59E-35
ICMT,0.852506948,3.99E-22
RPL22,0.895404802,3.92E-37
QSOX1,-0.287682522,3.16E-09
ERRFI1,2.754397807,2.90E-37
PARK7,1.118325598,7.29E-44
SRSF4,-0.560762521,5.06E-10
MECR,1.259808091,1.66E-06
KCNC4,-1.368200085,8.00E-09
EDEM3,0.279826465,1.27E-06
WDR77,0.989834207,1.84E-12
ATP5PB,1.072184691,3.91E-73
HDAC1,0.641095546,1.77E-18
CAPZA1,-0.074306763,0.046434369
RNF19B,-1.539695891,1.95E-67
SCAMP3,0.485348892,7.58E-10
TRIM62,-0.658462625,0.023583367
RHOU,1.093730194,7.57E-15
ARHGEF2,-0.632568908,1.11E-50
MEF2D,-0.452948327,5.26E-22
DOCK7,0.524644675,0.002845297
SRM,1.731171034,1.85E-31
FBXO6,-1.747352902,4.33E-41
C1orf21,-0.714534683,1.57E-12
SWT1,-1.286777813,1.62E-13
LEPR,0.441554337,0.003666447
IVNS1ABP,-0.202468666,0.000171433
KIAA2013,-0.310638234,0.001184777
MFN2,0.420399286,2.24E-11
MIIP,-0.530471517,0.006929726
SMG7,-0.443081518,6.06E-08
NCF2,-1.816500335,5.41E-65
SLC35D1,0.924951372,1.19E-16
WLS,2.121248687,1.10E-09
PRDM2,-0.467000867,4.58E-06
RGS2,0.350302745,5.48E-12
RO60,0.187197115,0.010343071
UCHL5,0.673075797,1.53E-14
BCAS2,-0.218310411,0.023628026
SRSF11,0.147107611,0.014234675
OLFML3,-2.571204561,3.86E-19
PLEKHM2,-1.216314451,5.58E-72
CRYZ,0.931494238,3.60E-05
PHTF1,-0.403203003,7.72E-07
CD58,-0.200694512,0.030555871
TTF2,0.337354638,0.022069049
NR5A2,2.038817555,0.002497119
KIF21B,-0.79951625,1.50E-19
ADPRS,-0.508533005,0.000313152
MAP7D1,-0.238295134,0.000573142
WARS2,1.107880214,7.25E-08
MRPS15,0.565411563,0.000679351
GNPAT,0.33778108,0.000630907
TSNAX,0.610681972,1.12E-13
RRAGC,-0.876764522,1.96E-20
NA,0.540261343,3.60E-06
NID1,0.207209658,0.045639077
LGALS8,-0.584012518,4.76E-25
MTR,1.065166128,1.51E-18
BMP8B,1.196072741,1.07E-31
MYCL,-1.13691896,3.80E-15
SIPA1L2,-0.496114692,8.36E-05
RLF,-0.392785932,2.70E-23
KMO,-1.026139549,2.84E-10
ZNF684,0.24857903,0.005361577
KCNQ4,-1.363709573,1.30E-08
RIMS3,-0.296075693,1.13E-08
ETV3,0.303357834,1.66E-05
ADGRL2,-0.242147212,0.003484348
PADI2,1.621278146,0.012695273
UAP1,1.301704111,6.33E-17
ZNHIT6,0.817555277,9.89E-06
GBP3,-1.653344333,6.65E-124
GBP1,-2.21660267,0
KIF17,-1.416058849,4.04E-20
GPR89A,0.616238107,0.015641479
CDK18,-2.820970111,3.89E-28
NA,-0.288429584,8.35E-14
ECE1,-0.793969935,2.32E-11
GALE,-0.429427566,0.01108092
ID3,2.062049161,8.96E-17
CD46,0.50113079,2.33E-13
APH1A,0.144358387,0.01953954
SLC2A1,-0.365040854,5.29E-13
EBNA1BP2,1.153391157,6.57E-26
CDC20,4.208725752,1.34E-153
ARTN,-1.104854918,0.037024981
IPO13,-0.502251924,2.28E-10
ATP6V0B,-0.250877494,8.94E-10
ERI3,1.072194184,3.61E-10
PRDX1,0.842918855,3.60E-62
PIK3R3,-0.227167639,0.042341344
BLZF1,-1.240005872,2.25E-69
SLC19A2,1.079094323,2.43E-06
F3,1.403142,2.48E-37
ABCD3,1.14794527,4.20E-19
DPH5,1.378958297,4.21E-06
PTBP2,-0.409220246,0.004613788
TNFSF4,1.105658584,0.000220361
PRDX6,0.324308835,3.03E-09
DARS2,1.014459441,2.28E-11
HSD11B1,-2.121146561,0.001872089
IRF6,-2.610091293,0.025731006
UTP25,0.452530012,0.000721999
PLPPR4,2.243934199,4.36E-06
SYF2,-0.601155816,1.14E-07
RSRP1,-0.713777628,1.80E-14
SLC35A3,0.801679969,1.33E-08
STMN1,2.394048321,9.24E-71
NEK2,5.374118676,1.40E-08
RPS6KA1,0.388069126,4.40E-10
PROX1,-2.235665313,3.63E-05
ARID1A,-0.24904742,0.00173371
CENPF,3.504263842,8.18E-74
RPA2,0.286206622,0.017470161
PPP1R8,0.301816386,0.01085653
STX12,-0.286503828,5.63E-05
OSBPL9,0.294223255,3.03E-05
TXNDC12,0.241784456,0.002825227
ESYT2,-0.139036515,0.015637535
POLR1G,1.849393099,0.000152442
RCN2,1.037492825,2.38E-11
CTSD,-1.444715748,0
STAG1,0.373234862,0.000336238
MMP8,4.454508791,1.82E-262
RPS25,0.150630951,0.019956179
KIF14,3.008864241,3.45E-30
CAMSAP2,1.132701209,5.15E-49
ATF6,0.257283413,0.000817974
FASTKD2,0.577536004,8.19E-06
NRP2,0.137712983,0.048029719
IRAG2,-0.789615243,4.59E-14
SPCS2,0.234349648,0.0094813
FILIP1,-1.260139952,0.018898021
HMGN3,-0.527773227,9.56E-06
CNR1,-0.215796648,0.018629769
ANKRD13C,0.499087718,3.03E-05
SGIP1,0.857522195,0.000663861
PHF3,-0.762378834,2.82E-23
PLAGL1,-0.68086565,7.82E-16
FBXO30,0.18617438,0.029956089
TNFAIP3,-1.468737702,2.63E-135
AKAP7,-1.793513813,5.88E-12
MYB,-1.17725744,2.33E-15
SGK1,-0.571954226,2.23E-10
RNF146,-0.375807435,7.53E-05
CCN2,-1.479102241,1.94E-06
PMFBP1,1.093076784,0.003261139
FBXL5,-0.509260748,9.66E-10
SLC16A7,2.598436556,2.56E-17
RXYLT1,0.667135722,0.013123816
ZNF430,-0.416295444,0.001775072
MYL12B,-0.205383709,0.000378222
FOXO3,-0.507735667,8.89E-20
RPN2,-0.196267791,7.86E-06
PKD2,0.423068918,0.000220373
SPP1,0.290248049,1.16E-22
CCNI,-0.275307496,1.32E-05
MFSD1,0.374205748,3.03E-10
RAB3GAP2,0.427409299,4.29E-09
EEF2KMT,0.793585617,0.024799106
UBN1,-0.333671699,3.43E-05
KLF12,1.91508995,1.46E-14
PCDH17,2.451119932,5.26E-10
LDAH,0.332778185,0.035495011
WDR35,0.858784441,0.00168919
ELL2,0.41029378,7.11E-12
NDUFB3,0.40344213,0.006877427
GTF3C3,0.314700701,0.002189082
UBE2B,-0.519631796,1.04E-07
KLF9,-0.845821804,3.21E-18
TJP2,1.692619131,2.17E-18
ITGB1BP1,-0.342045836,3.40E-07
SENP5,0.235635048,0.011359609
CCDC92,-0.519806784,0.001567548
C1orf198,1.406383205,3.45E-61
HEATR1,1.472157145,4.68E-50
PTBP3,-0.350859679,4.07E-10
RAD23B,0.2030832,0.000965715
FKBP15,-0.502384024,3.60E-15
CTNNAL1,0.821214499,5.06E-06
DYNC2I2,0.561202535,0.018239004
SET,0.237146081,2.02E-06
PTPA,-0.329031539,3.65E-06
RAB14,0.289947224,1.07E-07
CNTRL,-0.538546899,4.03E-05
FBXW2,0.359932908,5.19E-05
NEK6,-1.06488039,1.13E-113
PPP6C,0.404836261,1.08E-06
NDUFA8,0.392352885,0.009514676
HDHD3,-1.708111153,7.12E-16
HSDL2,0.829540907,3.04E-07
MAPKAP1,0.608871714,3.11E-12
NR4A3,-1.04266584,2.55E-24
DENND1A,-0.761907987,4.46E-07
CSF3R,-2.682107775,2.18E-48
KDSR,-0.225064926,0.005140401
VPS4B,-0.472514876,2.89E-16
ONECUT2,-1.072493922,9.13E-09
YLPM1,0.512866741,7.53E-09
DCAF4,1.54148424,3.09E-14
FCF1,0.612245312,7.46E-09
BBOF1,1.570654068,0.005154291
NPC2,-0.488309317,1.47E-13
